trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,2,4.750828210968667,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",35,10,-85.2874312578153,"{0: 18, 1: 3, 2: 0, 3: 3, 4: 1}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,1,-85.66181772479298,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-60.224846757632434,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-61.61513104908718,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,-70.63473896243201,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,6,-27.764873734320723,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,0,8.200560209524404,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",30,7,-35.73241255153409,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,0,-55.69087750404884,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-51.72551941933721,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,0,-6.722808186675354,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",30,5,-58.20296193958983,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,0,-140.79676130975827,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,1,-26.230992463250924,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,-45.10993231473296,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,14,-7.851595078358891,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,15,4.768456699639565,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
